split,epoch,step,loss,ppl,tokens,tok_per_s,dt_s,lr_proj,lr_dino,gpu_mem_mb,g_has,l_has,ablation_mode,val_ppl_vis,val_ppl_no_vis,test_ppl_vis,test_ppl_no_vis
test_vis,6,10,7.5806564,1959.9151,128,2818.6787,0.045411348,0.0,0.0,9487.4829,40,34,both,,,,
test_vis,6,20,7.5907971,1979.8911,104,2415.4449,0.04305625,0.0,0.0,9487.4829,80,70,both,,,,
test_vis,6,-1,7.5857141,1969.8529,,,,,,9487.4829,80,70,both,,,,
test_novis,6,10,7.6679554,2138.7043,128,3906.1918,0.032768488,0.0,0.0,9487.4829,0,0,none,,,,
test_novis,6,20,8.2335667,3765.2392,104,3124.3383,0.033287048,0.0,0.0,9487.4829,0,0,none,,,,
test_novis,6,-1,7.9500558,2835.7332,,,,,,9487.4829,0,0,none,,,,
test_vis,6,10,7.5806564,1959.9151,128,2865.6958,0.04466629,0.0,0.0,9487.4829,40,34,both,,,,
test_vis,6,20,7.5907971,1979.8911,104,2389.2492,0.043528318,0.0,0.0,9487.4829,80,70,both,,,,
test_vis,6,-1,7.5857141,1969.8529,,,,,,9487.4829,80,70,both,,,,
test_novis,6,10,7.6679554,2138.7043,128,3899.8926,0.032821417,0.0,0.0,9487.4829,0,0,none,,,,
test_novis,6,20,8.2335667,3765.2392,104,3132.9777,0.033195257,0.0,0.0,9487.4829,0,0,none,,,,
test_novis,6,-1,7.9500558,2835.7332,,,,,,9487.4829,0,0,none,,,,
test_summary,6,-1,,,,,,,,,,,,,,1969.8529,2835.7332
