split,epoch,step,loss,ppl,tokens,tok_per_s,dt_s,lr_proj,lr_dino,gpu_mem_mb,g_has,l_has,ablation_mode,val_ppl_vis,val_ppl_no_vis,test_ppl_vis,test_ppl_no_vis
train,1,10,7.2682399,1434.0242,92,857.75376,0.10725689,1e-05,2e-06,9487.4829,40,37,both,,,,
train,1,20,5.6247181,277.19414,148,1579.454,0.09370327,2e-05,4e-06,9487.4829,80,72,both,,,,
train,1,30,4.4917881,89.280942,104,1074.5671,0.096783161,3e-05,6e-06,9487.4829,120,107,both,,,,
train,1,40,3.352956,28.587113,212,2221.7647,0.095419645,4e-05,8e-06,9487.4829,160,141,both,,,,
train,1,50,2.2306435,9.3058527,152,1617.4626,0.093974352,5e-05,1e-05,9487.4829,200,180,both,,,,
train,1,-1,4.5911927,98.61197,,,,,,9487.4829,200,180,both,,,,
val_vis,1,10,2.0656841,7.8906938,240,5080.387,0.047240496,5e-05,1e-05,10183.44,40,37,both,,,,
val_vis,1,20,2.1155221,8.2939151,112,2503.0347,0.044745684,5e-05,1e-05,10183.44,80,74,both,,,,
val_vis,1,-1,2.0904791,8.0887897,,,,,,10183.44,80,74,both,,,,
val_novis,1,10,7.679771,2164.1241,240,6881.9252,0.034873962,5e-05,1e-05,10183.44,0,0,none,,,,
val_novis,1,20,7.9211706,2754.9942,112,3303.8326,0.033900023,5e-05,1e-05,10183.44,0,0,none,,,,
val_novis,1,-1,7.7998703,2440.2855,,,,,,10183.44,0,0,none,,,,
train_summary,1,-1,4.5911927,98.61197,,,,,,,,,both,,,,
val_summary,1,-1,,,,,,,,,,,,8.0887897,2440.2855,,
train,2,10,2.0818023,8.0189087,172,1862.3257,0.092357635,6e-05,1.2e-05,10183.44,40,33,both,,,,
train,2,20,1.9133113,6.7754875,204,2117.8477,0.096324205,7e-05,1.4e-05,10183.44,80,72,both,,,,
train,2,30,2.0995092,8.1621633,116,1232.7093,0.094101667,8e-05,1.6e-05,10183.44,120,110,both,,,,
train,2,40,1.834068,6.2592976,188,1991.3559,0.094408035,9e-05,1.8e-05,10183.44,160,146,both,,,,
train,2,50,1.4988586,4.4765766,92,992.62487,0.092683554,0.0001,2e-05,10183.44,200,182,both,,,,
train,2,-1,1.8855099,6.5897137,,,,,,10183.44,200,182,both,,,,
val_vis,2,10,1.5896116,4.9018449,240,5240.5872,0.045796394,0.0001,2e-05,10183.44,40,37,both,,,,
val_vis,2,20,1.5661355,4.7881087,112,2536.7998,0.044150114,0.0001,2e-05,10183.44,80,74,both,,,,
val_vis,2,-1,1.577932,4.844926,,,,,,10183.44,80,74,both,,,,
