split,epoch,step,loss,ppl,tokens,tok_per_s,dt_s,lr_proj,lr_dino,gpu_mem_mb,g_has,l_has,ablation_mode,val_ppl_vis,val_ppl_no_vis,test_ppl_vis,test_ppl_no_vis
train,1,10,7.3628131,1576.2645,128,1386.0134,0.092351198,1e-05,2e-06,9487.4829,40,32,both,,,,
train,1,20,5.901885,365.72622,92,941.95122,0.097669601,2e-05,4e-06,9487.4829,80,70,both,,,,
train,1,30,4.5077344,90.716059,120,1281.9006,0.093611002,3e-05,6e-06,9487.4829,120,105,both,,,,
train,1,40,3.2122392,24.834634,104,1132.8744,0.091801882,4e-05,8e-06,9487.4829,160,139,both,,,,
train,1,50,2.1364025,8.4689154,112,1187.1642,0.09434247,5e-05,1e-05,9487.4829,200,178,both,,,,
train,1,-1,4.6242148,101.92272,,,,,,9487.4829,200,178,both,,,,
val_vis,1,10,2.1862859,8.9020885,240,5013.3371,0.047872305,5e-05,1e-05,10183.544,40,37,both,,,,
val_vis,1,20,2.0930871,8.1099123,136,3060.6323,0.044435263,5e-05,1e-05,10183.544,80,73,both,,,,
val_vis,1,-1,2.1394546,8.4948037,,,,,,10183.544,80,73,both,,,,
val_novis,1,10,7.9493328,2833.6836,240,6836.0778,0.035107851,5e-05,1e-05,10183.544,0,0,none,,,,
val_novis,1,20,7.768389,2364.6587,136,3986.9253,0.0341115,5e-05,1e-05,10183.544,0,0,none,,,,
val_novis,1,-1,7.8584108,2587.4051,,,,,,10183.544,0,0,none,,,,
train_summary,1,-1,4.6242148,101.92272,,,,,,,,,both,,,,
val_summary,1,-1,,,,,,,,,,,,8.4948037,2587.4051,,
train,2,10,2.1318309,8.4302874,104,1156.9665,0.089890242,6e-05,1.2e-05,10183.544,40,35,both,,,,
train,2,20,2.1952929,8.9826319,116,1237.2106,0.093759298,7e-05,1.4e-05,10183.544,80,70,both,,,,
train,2,30,1.8300939,6.2344719,160,1742.404,0.091827154,8e-05,1.6e-05,10183.544,120,105,both,,,,
train,2,40,1.8576688,6.4087789,148,1582.8934,0.09349966,9e-05,1.8e-05,10183.544,160,140,both,,,,
train,2,50,1.8919272,6.6321376,104,1118.6905,0.092965841,0.0001,2e-05,10183.544,200,178,both,,,,
train,2,-1,1.9810966,7.2506895,,,,,,10183.544,200,178,both,,,,
val_vis,2,10,1.5444959,4.6856091,240,5113.0044,0.046939135,0.0001,2e-05,10183.544,40,37,both,,,,
val_vis,2,20,1.4205097,4.1392296,136,3035.2914,0.044806242,0.0001,2e-05,10183.544,80,73,both,,,,
val_vis,2,-1,1.4821944,4.4025961,,,,,,10183.544,80,73,both,,,,
val_novis,2,10,7.9493328,2833.6836,240,6789.0968,0.0353508,0.0001,2e-05,10183.544,0,0,none,,,,
val_novis,2,20,7.768389,2364.6587,136,3933.2084,0.03457737,0.0001,2e-05,10183.544,0,0,none,,,,
val_novis,2,-1,7.8584108,2587.4051,,,,,,10183.544,0,0,none,,,,
train_summary,2,-1,1.9810966,7.2506895,,,,,,,,,both,,,,
val_summary,2,-1,,,,,,,,,,,,4.4025961,2587.4051,,
test_vis,3,10,1.4921424,4.4466118,128,2872.6419,0.044558287,0.0001,2e-05,10183.544,40,34,both,,,,
test_vis,3,20,1.540179,4.6654254,104,2380.76,0.043683529,0.0001,2e-05,10183.544,80,70,both,,,,
test_vis,3,-1,1.5161008,4.554432,,,,,,10183.544,80,70,both,,,,
test_novis,3,10,7.6679554,2138.7043,128,3867.1659,0.033099174,0.0001,2e-05,10183.544,0,0,none,,,,
test_novis,3,20,8.2335667,3765.2392,104,3086.4038,0.033696175,0.0001,2e-05,10183.544,0,0,none,,,,
test_novis,3,-1,7.9500558,2835.7332,,,,,,10183.544,0,0,none,,,,
test_summary,3,-1,,,,,,,,,,,,,,4.554432,2835.7332
train,1,10,7.8162365,2480.5523,148,1608.9123,0.09198761,1e-05,2e-06,9487.4829,40,35,global_only,,,,
train,1,20,6.1565754,471.80953,144,1386.1999,0.10388112,2e-05,4e-06,9487.4829,80,73,global_only,,,,
train,1,30,5.2759681,195.57972,116,1289.4093,0.089963675,3e-05,6e-06,9487.4829,120,110,global_only,,,,
train,1,40,4.3096842,74.416986,160,1767.893,0.090503216,4e-05,8e-06,9487.4829,160,146,global_only,,,,
train,1,50,3.1861081,24.194084,124,1363.1397,0.090966463,5e-05,1e-05,9487.4829,200,182,global_only,,,,
train,1,-1,5.3497213,210.54961,,,,,,9487.4829,200,182,global_only,,,,
val_vis,1,10,2.835579,17.040264,156,3556.9683,0.043857574,5e-05,1e-05,9487.4829,40,35,both,,,,
