split,epoch,step,loss,ppl,tokens,tok_per_s,dt_s,lr_proj,lr_dino,gpu_mem_mb,g_has,l_has,ablation_mode,val_ppl_vis,val_ppl_no_vis,test_ppl_vis,test_ppl_no_vis
train,1,10,nan,485165200.0,188,1937.3705,0.097038746,1e-05,2e-06,9487.4829,40,35,local_only,,,,
train,1,20,nan,485165200.0,144,1568.9253,0.09178257,2e-05,4e-06,9487.4829,80,70,local_only,,,,
train,1,30,nan,485165200.0,128,1388.0452,0.092216015,3e-05,6e-06,9487.4829,120,103,local_only,,,,
train,1,40,nan,485165200.0,116,1304.3773,0.088931322,4e-05,8e-06,9487.4829,160,139,local_only,,,,
train,1,50,nan,485165200.0,88,954.41188,0.092203379,5e-05,1e-05,9487.4829,200,173,local_only,,,,
train,1,-1,nan,485165200.0,,,,,,9487.4829,200,173,local_only,,,,
val_vis,1,10,nan,485165200.0,100,2278.0645,0.043896914,5e-05,1e-05,9487.4829,40,36,both,,,,
val_vis,1,20,nan,485165200.0,96,2231.7423,0.043015718,5e-05,1e-05,9487.4829,80,71,both,,,,
val_vis,1,-1,nan,485165200.0,,,,,,9487.4829,80,71,both,,,,
val_novis,1,10,7.7464041,2313.2392,100,2975.4856,0.03360796,5e-05,1e-05,9487.4829,0,0,none,,,,
val_novis,1,20,7.9409309,2809.9751,96,2819.9569,0.034043074,5e-05,1e-05,9487.4829,0,0,none,,,,
val_novis,1,-1,7.8436675,2549.5381,,,,,,9487.4829,0,0,none,,,,
train_summary,1,-1,nan,485165200.0,,,,,,,,,local_only,,,,
val_summary,1,-1,,,,,,,,,,,,485165200.0,2549.5381,,
train,2,10,nan,485165200.0,136,1475.0803,0.092198372,6e-05,1.2e-05,9487.4829,40,38,local_only,,,,
train,2,20,nan,485165200.0,128,1391.2105,0.092006207,7e-05,1.4e-05,9487.4829,80,74,local_only,,,,
train,2,30,nan,485165200.0,164,1800.993,0.091060877,8e-05,1.6e-05,9487.4829,120,110,local_only,,,,
train,2,40,nan,485165200.0,116,1250.6825,0.092749357,9e-05,1.8e-05,9487.4829,160,146,local_only,,,,
train,2,50,nan,485165200.0,116,1279.6223,0.090651751,0.0001,2e-05,9487.4829,200,180,local_only,,,,
train,2,-1,nan,485165200.0,,,,,,9487.4829,200,180,local_only,,,,
val_vis,2,10,nan,485165200.0,100,2313.6137,0.043222427,0.0001,2e-05,9487.4829,40,36,both,,,,
val_vis,2,20,nan,485165200.0,96,2241.2454,0.042833328,0.0001,2e-05,9487.4829,80,71,both,,,,
val_vis,2,-1,nan,485165200.0,,,,,,9487.4829,80,71,both,,,,
val_novis,2,10,7.7464041,2313.2392,100,2972.5544,0.0336411,0.0001,2e-05,9487.4829,0,0,none,,,,
val_novis,2,20,7.9409309,2809.9751,96,2911.3633,0.032974243,0.0001,2e-05,9487.4829,0,0,none,,,,
val_novis,2,-1,7.8436675,2549.5381,,,,,,9487.4829,0,0,none,,,,
train_summary,2,-1,nan,485165200.0,,,,,,,,,local_only,,,,
val_summary,2,-1,,,,,,,,,,,,485165200.0,2549.5381,,
train,3,10,nan,485165200.0,140,1496.1185,0.093575478,9.9992791e-05,1.9998558e-05,9487.4829,40,38,local_only,,,,
train,3,20,nan,485165200.0,156,1672.6436,0.093265533,9.9971165e-05,1.9994233e-05,9487.4829,80,76,local_only,,,,
train,3,30,nan,485165200.0,144,1572.0616,0.091599464,9.993513e-05,1.9987026e-05,9487.4829,120,114,local_only,,,,
train,3,40,nan,485165200.0,156,1672.6051,0.093267679,9.9884695e-05,1.9976939e-05,9487.4829,160,148,local_only,,,,
train,3,50,nan,485165200.0,124,1365.5914,0.090803146,9.9819874e-05,1.9963975e-05,9487.4829,200,183,local_only,,,,
train,3,-1,nan,485165200.0,,,,,,9487.4829,200,183,local_only,,,,
val_vis,3,10,nan,485165200.0,100,2310.2367,0.043285608,9.9819874e-05,1.9963975e-05,9487.4829,40,36,both,,,,
val_vis,3,20,nan,485165200.0,96,2214.8262,0.043344259,9.9819874e-05,1.9963975e-05,9487.4829,80,71,both,,,,
val_vis,3,-1,nan,485165200.0,,,,,,9487.4829,80,71,both,,,,
val_novis,3,10,7.7464041,2313.2392,100,2976.7949,0.033593178,9.9819874e-05,1.9963975e-05,9487.4829,0,0,none,,,,
