layer_uid,spearman,p
Embedding-3-1,0.049913772516421366,1.852577445445011e-12
GELU-2-3,0.03610073684074433,3.506310418810013e-07
Gemma2DecoderLayer-4-1,0.06636430908887658,7.145355541151937e-21
Gemma2DecoderLayer-4-10,0.0686817120636433,3.0270166897919535e-22
Gemma2DecoderLayer-4-11,0.06734137136117814,1.9090360404492085e-21
Gemma2DecoderLayer-4-12,0.07103325247003917,1.0968316583767887e-23
Gemma2DecoderLayer-4-13,0.06182558624436134,2.5608263594607455e-18
Gemma2DecoderLayer-4-14,0.07240735446674372,1.499453172805766e-24
Gemma2DecoderLayer-4-15,0.06421496442991348,1.2186247358059585e-19
Gemma2DecoderLayer-4-16,0.06783140441269843,9.777141835627244e-22
Gemma2DecoderLayer-4-17,0.08736637633955692,5.032111860165119e-35
Gemma2DecoderLayer-4-18,0.0827411512627239,1.4105412197729771e-31
Gemma2DecoderLayer-4-19,0.09976530300980765,3.3929385983454754e-45
Gemma2DecoderLayer-4-2,0.0680828233319743,6.923180798097305e-22
Gemma2DecoderLayer-4-20,0.10344152074818876,1.792896125351338e-48
Gemma2DecoderLayer-4-21,0.10567687448650455,1.5931400917239113e-50
Gemma2DecoderLayer-4-22,0.12496228234089246,4.470273693159968e-70
Gemma2DecoderLayer-4-23,0.12564553078131663,7.876634201458894e-71
Gemma2DecoderLayer-4-24,0.10755122368637153,2.8051928655010316e-52
Gemma2DecoderLayer-4-25,0.09170708469615318,1.9733769291878086e-38
Gemma2DecoderLayer-4-26,0.09751197053624858,3.019955526248363e-43
Gemma2DecoderLayer-4-3,0.07469521103664176,5.018681467025663e-26
Gemma2DecoderLayer-4-4,0.07056508095989616,2.1420788730778138e-23
Gemma2DecoderLayer-4-5,0.08166574734032943,8.39685447289304e-31
Gemma2DecoderLayer-4-6,0.07638834760871385,3.796590281628933e-27
Gemma2DecoderLayer-4-7,0.07603375738231781,6.55047606587533e-27
Gemma2DecoderLayer-4-8,0.08616313577902916,4.137244505093765e-34
Gemma2DecoderLayer-4-9,0.07068272322384489,1.811209158890579e-23
Gemma2ForCausalLM-1-11,0.0963707165055876,2.819617766744423e-42
Gemma2RMSNorm-3-4,0.09827606041115072,6.668087873360982e-44
Gemma2RMSNorm-5-1,0.05408243455101766,2.2691981371923786e-14
Gemma2RMSNorm-5-10,0.11145946120622126,4.890125158188538e-56
Gemma2RMSNorm-5-100,0.15209741605957533,2.751132594110742e-103
Gemma2RMSNorm-5-102,0.12578344085292426,5.541656421376842e-71
Gemma2RMSNorm-5-103,0.1351977114979988,8.172641362987853e-82
Gemma2RMSNorm-5-105,0.10585092234965468,1.0981755690288257e-50
Gemma2RMSNorm-5-106,0.1451596646344985,3.7312943641904176e-94
Gemma2RMSNorm-5-108,0.10919680665147019,7.620419516340304e-54
Gemma2RMSNorm-5-109,0.13040897585576117,3.329228566644867e-76
Gemma2RMSNorm-5-111,0.13290070769982956,4.258935752039192e-79
Gemma2RMSNorm-5-112,0.15355474533729013,2.9155659858470247e-105
Gemma2RMSNorm-5-114,0.1338810241597821,2.98975803429106e-80
Gemma2RMSNorm-5-115,0.14263065737826247,6.176342884174152e-91
Gemma2RMSNorm-5-117,0.10293928041016076,5.108955657060872e-48
Gemma2RMSNorm-5-118,0.1569385494969129,6.361060672470284e-110
Gemma2RMSNorm-5-12,0.07511539561467773,2.658732524675681e-26
Gemma2RMSNorm-5-120,0.1236621777363085,1.1841701956889648e-68
Gemma2RMSNorm-5-121,0.1481371074367985,5.092175287019146e-98
Gemma2RMSNorm-5-123,0.08959396167294713,9.424917966089011e-37
Gemma2RMSNorm-5-124,0.16685685298709169,3.3643817577396443e-124
Gemma2RMSNorm-5-126,0.11622763063617965,8.294111641278235e-61
Gemma2RMSNorm-5-127,0.14531495931073204,2.35662185715215e-94
Gemma2RMSNorm-5-129,0.1748495727897156,2.242913696687112e-136
Gemma2RMSNorm-5-13,0.08610330120689004,4.590694175785232e-34
Gemma2RMSNorm-5-130,0.18622082046162036,9.655744724026421e-155
Gemma2RMSNorm-5-132,0.11689413716542346,1.7206973839343522e-61
Gemma2RMSNorm-5-133,0.16705623639153933,1.7001044601399448e-124
Gemma2RMSNorm-5-135,0.08887289986533027,3.453276671423766e-36
Gemma2RMSNorm-5-136,0.18962422753025068,1.76861490253615e-160
Gemma2RMSNorm-5-138,0.1267702718884919,4.425415873165172e-72
Gemma2RMSNorm-5-139,0.16926525503736173,8.342102505135934e-128
Gemma2RMSNorm-5-141,0.08725225148715789,6.152878831723438e-35
Gemma2RMSNorm-5-142,0.18038238051321948,3.7016594478997706e-145
Gemma2RMSNorm-5-144,0.08400252819693381,1.6895340745422587e-32
Gemma2RMSNorm-5-145,0.16144118353896578,2.729893308870966e-116
Gemma2RMSNorm-5-147,0.11427432104110957,7.900751733508914e-59
Gemma2RMSNorm-5-148,0.1705594269370948,9.146125243238789e-130
Gemma2RMSNorm-5-15,0.07147866135729587,5.778427878665109e-24
Gemma2RMSNorm-5-150,0.0708476901290928,1.4308252805215924e-23
Gemma2RMSNorm-5-151,0.14363941298228727,3.264695514479028e-92
Gemma2RMSNorm-5-153,0.13529470575413663,6.260069725142149e-82
Gemma2RMSNorm-5-154,0.1643687018018568,1.565929686426121e-120
Gemma2RMSNorm-5-156,0.06981096584666575,6.238405851493794e-23
Gemma2RMSNorm-5-16,0.09570700529520673,1.021223064128772e-41
Gemma2RMSNorm-5-18,0.05596349270364363,2.7819340452376162e-15
